code,full_name,name
A3,爱琴海航空,爱琴海航空
T5,土库曼斯坦航空公司,土库曼斯坦航空
2B,葡萄牙老鹰航空公司,老鹰航空
5M,美佳航空,美佳航空
7C,济州航空,济州航空
FD,泰国亚洲航空,泰国亚洲航空
BX,釜山航空,釜山航空
LJ,真航空,真航空
0V,越南航空服务公司,越南航空
IX,印度航空快运,印度航空快运
IZ,阿基亚以色列航空公司,阿基亚以色列航空
UF,乌克兰-地中海航空公司,UM航空
SY,美国太阳城航空公司,太阳城航空
WF,维德勒航空公司,维德勒航空
0Y,雪人航空公司,雪人航空
B6,美国捷蓝航空公司,美国捷蓝航空
19,布鲁塞尔航空公司,布鲁塞尔航空
AV,阿维安卡航空公司,阿维安卡航空
UX,西班牙欧洲航空公司,西班牙欧洲航空
EP,伊朗阿塞曼航空,伊朗阿塞曼航空
G9,阿拉伯航空,阿拉伯航空
J9,半岛航空,半岛航空
KK,Atlasjet航空,Atlasjet航空
M3,巴西货运S.A.航空公司,巴西货运S.A.航空
P5,共和航空,共和航空
ZI,法国Aigle Azur航空公司,Aigle Azur航空
UU,奥斯特拉尔航空公司,奥斯特拉尔航空
XK,科西嘉地中海航空公司,科西嘉地中海航空
MD,马达加斯加航空公司,马达加斯加航空
9U,摩尔多瓦航空,摩尔多瓦航空
VK,维珍尼日利亚航空,维珍尼日利亚航空
SB,喀里多尼亚国际航空公司,喀里多尼亚航空
4Z,南非支线航空公司,南非支线航空
WI,White Airways,White Airways
Y4,Volaris航空,Volaris航空
VA,澳洲维珍航空,澳洲维珍航空
UT,俄罗斯优梯航空公司,优梯航空
EQ,厄瓜多尔军运航空公司,厄瓜多尔军运航空
T0,秘鲁阿维安卡航空公司,秘鲁阿维安卡航空
XZ,南非快运,南非快运
4Q,萨菲航空公司,萨菲航空
JQ,捷星航空有限公司,捷星航空
HZ,萨哈林斯克航空公司,萨哈林斯克航空
8U,利比亚泛飞航空公司,利比亚泛飞航空
U8,亚美尼亚航空公司,亚美尼亚航空
KC,阿斯塔纳航空公司,阿斯塔纳航空
U6,乌拉尔航空公司,乌拉尔航空
7H,时代航空公司,时代航空
D8,吉布提航空,吉布提航空
NF,瓦努阿图航空,瓦努阿图航空
RU,俄罗斯大桥航空,俄罗斯大桥航空
J2,阿塞拜疆航空公司,阿塞拜疆航空
5C,以色列货运航空公司,以色列货运航空
G3,戈尔航空,戈尔航空
PS,乌克兰国际航空公司,乌克兰国际航空
3V,TNT航空公司,TNT航空
FV,圣彼得堡航空,圣彼得堡航空
XQ,阳光快运,阳光快运
ZY,SKY 航空,SKY 航空
SP,SATA Air Acores,SATA Air Acores
OU,克罗地亚航空公司,克罗地亚航空
YW,诺斯特鲁姆航空公司,诺斯特鲁姆航空
